2026-05-20 11:51:17,612 [INFO] <BrokerConnection node_id=bootstrap-0 host=localhost:9094 <connecting> [IPv6 ('::1', 9094, 0, 0)]>: connecting to localhost:9094 [('::1', 9094, 0, 0) IPv6]
2026-05-20 11:51:17,612 [INFO] Probing node bootstrap-0 broker version
2026-05-20 11:51:17,612 [INFO] <BrokerConnection node_id=bootstrap-0 host=localhost:9094 <connecting> [IPv6 ('::1', 9094, 0, 0)]>: Connection complete.
2026-05-20 11:51:17,714 [INFO] Broker version identified as 2.6.0
2026-05-20 11:51:17,714 [INFO] Set configuration api_version=(2, 6, 0) to skip auto check_version requests on startup
2026-05-20 11:51:17,722 [INFO] 🚀 Iniciando generador | eps=30 | sesiones=10 | anomaly_ratio=0.08 | topic=ecommerce-events
2026-05-20 11:51:17,723 [INFO] Presiona Ctrl+C para detener.

2026-05-20 11:51:17,728 [INFO] <BrokerConnection node_id=1 host=localhost:9094 <connecting> [IPv6 ('::1', 9094, 0, 0)]>: connecting to localhost:9094 [('::1', 9094, 0, 0) IPv6]
2026-05-20 11:51:17,729 [INFO] <BrokerConnection node_id=1 host=localhost:9094 <connecting> [IPv6 ('::1', 9094, 0, 0)]>: Connection complete.
2026-05-20 11:51:17,729 [INFO] <BrokerConnection node_id=bootstrap-0 host=localhost:9094 <connected> [IPv6 ('::1', 9094, 0, 0)]>: Closing connection. 
2026-05-20 12:41:25,024 [INFO] Enviados: 90000 eventos | Anomalías: 7143 (7.9%)
2026-05-20 12:41:58,440 [INFO] Enviados: 91000 eventos | Anomalías: 7226 (7.9%)
2026-05-20 12:42:31,853 [INFO] Enviados: 92000 eventos | Anomalías: 7317 (8.0%)
2026-05-20 12:43:05,267 [INFO] Enviados: 93000 eventos | Anomalías: 7396 (8.0%)
2026-05-20 12:43:38,681 [INFO] Enviados: 94000 eventos | Anomalías: 7479 (8.0%)
2026-05-20 12:44:12,090 [INFO] Enviados: 95000 eventos | Anomalías: 7566 (8.0%)
2026-05-20 12:44:45,500 [INFO] Enviados: 96000 eventos | Anomalías: 7636 (8.0%)
2026-05-20 12:45:18,911 [INFO] Enviados: 97000 eventos | Anomalías: 7690 (7.9%)
2026-05-20 12:45:52,321 [INFO] Enviados: 98000 eventos | Anomalías: 7736 (7.9%)
2026-05-20 12:46:25,731 [INFO] Enviados: 99000 eventos | Anomalías: 7784 (7.9%)
2026-05-20 12:46:59,141 [INFO] Enviados: 100000 eventos | Anomalías: 7918 (7.9%)
2026-05-20 12:47:32,553 [INFO] Enviados: 101000 eventos | Anomalías: 7998 (7.9%)
2026-05-20 12:48:05,962 [INFO] Enviados: 102000 eventos | Anomalías: 8065 (7.9%)
2026-05-20 12:48:39,372 [INFO] Enviados: 103000 eventos | Anomalías: 8149 (7.9%)
2026-05-20 12:49:12,783 [INFO] Enviados: 104000 eventos | Anomalías: 8206 (7.9%)
2026-05-20 12:49:46,194 [INFO] Enviados: 105000 eventos | Anomalías: 8279 (7.9%)
2026-05-20 12:50:19,603 [INFO] Enviados: 106000 eventos | Anomalías: 8360 (7.9%)
2026-05-20 12:50:53,011 [INFO] Enviados: 107000 eventos | Anomalías: 8450 (7.9%)
2026-05-20 12:51:26,422 [INFO] Enviados: 108000 eventos | Anomalías: 8538 (7.9%)
2026-05-20 12:51:59,833 [INFO] Enviados: 109000 eventos | Anomalías: 8574 (7.9%)
2026-05-20 12:52:33,242 [INFO] Enviados: 110000 eventos | Anomalías: 8603 (7.8%)
2026-05-20 12:53:06,653 [INFO] Enviados: 111000 eventos | Anomalías: 8691 (7.8%)
2026-05-20 12:53:40,064 [INFO] Enviados: 112000 eventos | Anomalías: 8783 (7.8%)
2026-05-20 12:54:13,474 [INFO] Enviados: 113000 eventos | Anomalías: 8859 (7.8%)
2026-05-20 12:54:46,884 [INFO] Enviados: 114000 eventos | Anomalías: 8904 (7.8%)
2026-05-20 12:55:20,295 [INFO] Enviados: 115000 eventos | Anomalías: 8996 (7.8%)
2026-05-20 12:55:53,705 [INFO] Enviados: 116000 eventos | Anomalías: 9121 (7.9%)
2026-05-20 12:56:27,115 [INFO] Enviados: 117000 eventos | Anomalías: 9208 (7.9%)
2026-05-20 12:57:00,525 [INFO] Enviados: 118000 eventos | Anomalías: 9314 (7.9%)
